id,name_equipment,name_producer
1,Unimat,WIDMA
2,HKS700/HIII,WIDMA
3,HKS400,WIDMA
4,FS1000,WIDMA
5,ASG 400A ,Schmidt-Tempo
6,TEMPO ECE XL,Schmidt-Tempo
7,AS 4,Schmidt-Tempo
8,ECE 45 ,Schmidt-Tempo
9,Akemat B / B10,AKEMAT
10,Akemat U / U10,AKEMAT
11,Akemat F / F10,AKEMAT
12,MODEL P20,UT.MA
13,CNC 600,ABM
14,OTOMAT 650,ABM
15,CNC 810,ABM
16,PNK-600,ABM
17,CNC-DUO,ABM
18,NC2,WALTER WOODTROMIC
19,NC3,WALTER WOODTROMIC
20,NC4,WALTER WOODTROMIC
21,NC5,WALTER WOODTROMIC
22,CNC5,WALTER WOODTROMIC
23,CNC6F,WALTER WOODTROMIC
24,CP200,Vollmer BIBERACH/DORNHAN
25,CHD250,Vollmer BIBERACH/DORNHAN
26,CHD251,Vollmer BIBERACH/DORNHAN
27,CHD270,Vollmer BIBERACH/DORNHAN
28,CX100,Vollmer BIBERACH/DORNHAN
29,CL200,Vollmer BIBERACH/DORNHAN
30,CHP,Vollmer BIBERACH/DORNHAN
31,CHC,Vollmer BIBERACH/DORNHAN
32,CHC250/270,Vollmer BIBERACH/DORNHAN
33,CHCB,Vollmer BIBERACH/DORNHAN
34,CHX840,Vollmer BIBERACH/DORNHAN
35,CHX1300,Vollmer BIBERACH/DORNHAN
36,Duo CHF,Vollmer BIBERACH/DORNHAN
37,Finimat 4B,Vollmer BIBERACH/DORNHAN
39,Center AKE U60,Vollmer BIBERACH/DORNHAN
40,UWS,Vollmer BIBERACH/DORNHAN
41,Finimat 600,Vollmer BIBERACH/DORNHAN
45,Duo TS,Vollmer BIBERACH/DORNHAN
46,MF600,Vollmer BIBERACH/DORNHAN
47,CHF,Vollmer BIBERACH/DORNHAN
48,CHHF 21H,Vollmer BIBERACH/DORNHAN
49,SW BA 80N,Loroch
50,PowerStar 850,Loroch
51,solution K850-T,Loroch
52,evolution K850-M,Loroch
53,TWIN 860,Loroch
54,KSC 560-B,Loroch
55,KSC 710-T,Loroch
56,AY,Loroch
38,Finimat Beta/Gamma,Vollmer BIBERACH/DORNHAN
42,Finimat 800/Finimax,Vollmer BIBERACH/DORNHAN
43,Unilapp,Vollmer BIBERACH/DORNHAN
44,Unilapp F2,Vollmer BIBERACH/DORNHAN
